,user_id,age,gender,occupation
0,1,0.24,1,19
1,2,0.53,0,13
2,3,0.23,1,20
3,4,0.24,1,19
4,5,0.33,0,13
5,6,0.42,1,6
6,7,0.57,1,0
7,8,0.36,1,0
8,9,0.29,1,18
9,10,0.53,1,9
10,11,0.39,0,13
11,12,0.28,0,13
12,13,0.47,1,3
13,14,0.45,1,17
14,15,0.49,0,3
15,16,0.21,1,5
16,17,0.3,1,14
17,18,0.35,0,13
18,19,0.4,1,10
19,20,0.42,0,8
20,21,0.26,1,20
21,22,0.25,1,20
22,23,0.3,0,1
23,24,0.21,0,1
24,25,0.39,1,4
25,26,0.49,1,4
26,27,0.4,0,10
27,28,0.32,1,20
28,29,0.41,1,14
29,30,0.07,1,18
30,31,0.24,1,1
31,32,0.28,0,18
32,33,0.23,1,18
33,34,0.38,0,0
34,35,0.2,0,8
35,36,0.19,0,18
36,37,0.23,1,18
37,38,0.28,0,13
38,39,0.41,1,5
39,40,0.38,1,17
40,41,0.33,1,4
41,42,0.3,1,0
42,43,0.29,0,10
43,44,0.26,1,19
44,45,0.29,1,14
45,46,0.27,0,11
46,47,0.53,1,11
47,48,0.45,1,0
48,49,0.23,0,18
49,50,0.21,1,20
50,51,0.28,1,3
51,52,0.18,0,18
52,53,0.26,1,14
53,54,0.22,1,6
54,55,0.37,1,14
55,56,0.25,1,10
56,57,0.16,1,12
57,58,0.27,1,14
58,59,0.49,1,3
59,60,0.5,1,7
60,61,0.36,1,4
61,62,0.27,0,0
62,63,0.31,1,11
63,64,0.32,1,3
64,65,0.51,0,3
65,66,0.23,1,18
66,67,0.17,1,18
67,68,0.19,1,18
68,69,0.24,1,4
69,70,0.27,1,4
70,71,0.39,1,17
71,72,0.48,0,0
72,73,0.24,1,18
73,74,0.39,1,17
74,75,0.24,1,5
75,76,0.2,1,18
76,77,0.3,1,19
77,78,0.26,1,0
78,79,0.39,0,0
79,80,0.34,0,0
80,81,0.21,1,18
81,82,0.5,1,14
82,83,0.4,1,13
83,84,0.32,1,6
84,85,0.51,1,3
85,86,0.26,1,0
86,87,0.47,1,0
87,88,0.49,0,10
88,89,0.43,0,0
89,90,0.6,1,3
90,91,0.55,1,11
91,92,0.32,1,5
92,93,0.48,1,6
93,94,0.26,1,18
94,95,0.31,1,0
95,96,0.25,0,1
96,97,0.43,1,1
97,98,0.49,0,6
98,99,0.2,1,18
99,100,0.36,1,6
100,101,0.15,1,18
101,102,0.38,1,14
102,103,0.26,1,18
103,104,0.27,1,18
104,105,0.24,1,4
105,106,0.61,1,15
106,107,0.39,1,17
107,108,0.44,1,3
108,109,0.29,1,13
109,110,0.19,1,18
110,111,0.57,1,4
111,112,0.3,1,16
112,113,0.47,1,6
113,114,0.27,1,14
114,115,0.31,1,4
115,116,0.4,1,7
116,117,0.2,1,18
117,118,0.21,1,0
118,119,0.32,1,14
119,120,0.47,0,13
120,121,0.54,1,10
121,122,0.32,0,20
122,123,0.48,0,1
123,124,0.34,1,18
124,125,0.3,1,9
125,126,0.28,0,9
126,127,0.33,1,12
127,128,0.24,0,11
128,129,0.36,0,11
129,130,0.2,1,12
130,131,0.59,0,0
131,132,0.24,1,13
132,133,0.53,1,4
133,134,0.31,1,14
134,135,0.23,1,18
135,136,0.51,1,13
136,137,0.5,1,3
137,138,0.46,1,2
138,139,0.2,1,18
139,140,0.3,0,18
140,141,0.49,1,14
141,142,0.13,1,13
142,143,0.42,1,19
143,144,0.53,1,14
144,145,0.31,1,5
145,146,0.45,1,1
146,147,0.4,0,10
147,148,0.33,1,4
148,149,0.35,0,11
149,150,0.2,0,1
150,151,0.38,0,0
151,152,0.33,0,3
152,153,0.25,1,18
153,154,0.25,1,18
154,155,0.32,0,13
155,156,0.25,1,3
156,157,0.57,1,4
157,158,0.5,1,3
158,159,0.23,0,18
159,160,0.27,1,14
160,161,0.5,1,9
161,162,0.25,1,1
162,163,0.49,1,0
163,164,0.47,1,7
164,165,0.2,0,13
165,166,0.47,1,3
166,167,0.37,1,13
167,168,0.48,1,13
168,169,0.52,0,13
169,170,0.53,0,7
170,171,0.48,0,3
171,172,0.55,1,11
172,173,0.56,1,13
173,174,0.3,0,0
174,175,0.26,0,17
175,176,0.28,1,17
176,177,0.2,1,14
177,178,0.26,1,13
178,179,0.15,1,5
179,180,0.22,0,0
180,181,0.26,1,6
181,182,0.36,1,14
182,183,0.33,1,17
183,184,0.37,1,10
184,185,0.53,0,10
185,186,0.39,0,6
186,187,0.26,1,3
187,188,0.42,1,18
188,189,0.32,1,1
189,190,0.3,1,0
190,191,0.33,1,0
191,192,0.42,1,3
192,193,0.29,1,18
193,194,0.38,1,0
194,195,0.42,1,17
195,196,0.49,1,20
196,197,0.55,1,19
197,198,0.21,0,18
198,199,0.3,1,20
199,200,0.4,1,14
200,201,0.27,1,20
201,202,0.41,0,3
202,203,0.25,0,18
203,204,0.52,0,10
204,205,0.47,1,9
205,206,0.14,0,18
206,207,0.39,1,11
207,208,0.43,1,4
208,209,0.33,0,3
209,210,0.39,1,4
210,211,0.66,1,16
211,212,0.49,0,3
212,213,0.33,1,6
213,214,0.26,0,10
214,215,0.35,1,14
215,216,0.22,1,4
216,217,0.22,1,13
217,218,0.37,1,0
218,219,0.32,1,14
219,220,0.3,1,10
220,221,0.19,1,18
221,222,0.29,1,14
222,223,0.19,0,18
223,224,0.31,0,3
224,225,0.51,0,0
225,226,0.28,1,18
226,227,0.46,1,6
227,228,0.21,0,18
228,229,0.29,0,10
229,230,0.28,0,18
230,231,0.48,1,10
231,232,0.45,1,17
232,233,0.38,1,4
233,234,0.6,1,15
234,235,0.37,1,3
235,236,0.44,0,20
236,237,0.49,1,0
237,238,0.42,0,0
238,239,0.39,1,1
239,240,0.23,0,3
240,241,0.26,0,18
241,242,0.33,1,3
242,243,0.33,1,3
243,244,0.28,1,19
244,245,0.22,1,18
245,246,0.19,1,18
246,247,0.28,1,4
247,248,0.25,1,18
248,249,0.25,1,18
249,250,0.29,1,6
250,251,0.28,1,2
251,252,0.42,1,4
252,253,0.26,0,10
253,254,0.44,1,3
254,255,0.23,1,5
255,256,0.35,0,12
256,257,0.17,1,18
257,258,0.19,0,18
258,259,0.21,1,18
259,260,0.4,0,1
260,261,0.28,1,0
261,262,0.19,0,18
262,263,0.41,1,14
263,264,0.36,0,20
264,265,0.26,1,6
265,266,0.62,0,0
266,267,0.23,1,4
267,268,0.24,1,4
268,269,0.31,0,10
269,270,0.18,0,18
270,271,0.51,1,4
271,272,0.33,1,17
272,273,0.5,0,13
273,274,0.2,0,18
274,275,0.38,1,4
275,276,0.21,1,18
276,277,0.35,0,0
277,278,0.37,0,10
278,279,0.33,1,14
279,280,0.3,0,10
280,281,0.15,0,18
281,282,0.22,1,0
282,283,0.28,1,14
283,284,0.4,1,6
284,285,0.25,1,14
285,286,0.27,1,18
286,287,0.21,1,16
287,288,0.34,1,11
288,289,0.11,1,12
289,290,0.4,1,4
290,291,0.19,1,18
291,292,0.35,0,14
292,293,0.24,1,20
293,294,0.34,1,19
294,295,0.31,1,3
